Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8577464;2701174.794451026;1203222.3188383207;Muotathal, Säge;0;0;62;0;0;27.1;5
8577466;2702486.699569744;1203263.8212641282;Muotathal, Balm;0;0;6;0;0;280;0
8577467;2703271.9920828803;1202805.0291143716;Bisisthal, Herrgott;0;0;6;0;0;280;0
8577470;2705688.008256206;1200545.7135994732;Bisisthal, Zentrale EBS;0;0;6;0;0;280;0
8577471;2692177.286753029;1208610.7369073555;Schwyz, Herrengasse;0;0;106;0;0;15.85;4
8577472;2691714.016436386;1209065.2375855648;Schwyz, Nietenbachstrasse;0;0;58;0;0;28.97;5
8577473;2691638.81413257;1209644.8034200827;Schwyz, Verkehrsamt;0;0;58;0;0;28.97;5
8577474;2691620.0170166567;1210027.104231409;Schwyz, Kaltbach;0;0;58;0;0;28.97;5
8577475;2691339.186941859;1210525.132754948;Schwyz, Mettli;0;0;58;0;0;28.97;5
8577476;2690694.2085872176;1211227.2089178269;Schwyz, Burg;0;0;58;0;0;28.97;5
8577477;2690506.244992364;1211333.3146218155;Schwyz, Hirschen;0;0;58;0;0;28.97;5
8577478;2690208.6578218974;1212095.095542172;Steinen, Spiegelberg Schlag;0;0;58;0;0;28.97;5
8577479;2689872.0900317575;1212458.8146185162;Steinen, Spiegelberg;0;0;58;0;0;28.97;5
8577480;2689858.9600748704;1212966.846568895;Steinen, Adelboden;0;0;58;0;0;28.97;5
8577481;2690007.7369200457;1213418.838056955;Steinen, Rigiblick;0;0;58;0;0;28.97;5
8577482;2690343.9923981535;1214290.6209811033;Sattel, Erli;0;0;58;0;0;28.97;5
8577483;2690766.2051294874;1214837.8473200111;Sattel, Talstation;0;0;58;0;0;28.97;5
8577485;2690323.8810832286;1215031.0389969838;Sattel-Aegeri, Bahnhof;0;0;29;0;0;57.93;5
8577486;2692777.9126364505;1208594.1427601213;Schwyz, Laubstrasse;0;0;58;0;0;28.97;5
8577487;2693354.659010455;1207922.2399621943;Rickenbach SZ, Dorf;0;0;58;0;0;28.97;5
8577488;2694094.7977668983;1207598.8656538774;Rickenbach SZ, Stalden;0;0;58;0;0;28.97;5
8577503;2636573.2830987843;1240706.6393544122;Oftringen, Obristhof;0;0;56;0;0;30;5
8577505;2689665.0934981206;1204016.888578033;Morschach, Swiss Holiday Park;0;0;56;0;0;30;5
8577506;2690638.9213590124;1204933.7446309193;Morschach, Schwyzerhöhe;0;0;56;0;0;30;5
8577507;2691253.675717696;1205046.7359127838;Morschach, Luftseilbahn;0;0;57;0;0;29.47;5
8577508;2626061.7540785973;1266804.0016883225;Rheinfelden, Salmen-Park;0;0;114;0;0;14.74;4
8577509;2696160.963014142;1228692.7447065003;Richterswil, Säumerstrasse;0;0;54;0;0;31.11;5
8577510;2696066.852768297;1228664.0923713837;Wollerau, Höfli;0;0;54;0;0;31.11;5
8577511;2696173.033813535;1228578.9688344384;Wollerau, Hermannsweid;0;0;54;0;0;31.11;5
8577512;2696354.962386312;1228486.8463964378;Wollerau, Schwalbenboden;0;0;54;0;0;31.11;5
8577513;2696565.7151694237;1228332.8192132688;Wollerau, Studenbühl;0;0;54;0;0;31.11;5
8577514;2696699.039273525;1228089.3647403948;Wollerau, Schollenmatt;0;0;54;0;0;31.11;5
8577515;2697057.905674009;1228042.2855792788;Wollerau, Dorfplatz;0;0;54;0;0;31.11;5
8577517;2696753.0486284625;1227490.2555623797;Wollerau, Felsenrain;0;0;54;0;0;31.11;5
8577518;2696448.614667736;1227371.2273121297;Wollerau, Fürti;0;0;110;0;0;15.27;4
