"","Gemeinde","E_KOORD","N_KOORD","RELI","B21BTOT","B20BTOT","B19BTOT","B18BTOT","B17BTOT","B16BTOT","B15BTOT","B14BTOT","B13BTOT","B12BTOT","B11BTOT"
"1053","Wettingen",2667100,1257000,66712570,130,131,128,127,132,125,127,125,135,136,142
"1054","Wettingen",2667100,1256900,66712569,170,173,165,161,174,163,156,133,146,154,146
"1055","Wettingen",2667100,1256800,66712568,18,15,15,15,15,15,15,15,15,16,17
"1056","Wettingen",2667100,1256700,66712567,110,110,110,110,110,110,110,110,110,110,110
"1057","Neuenhof",2667100,1256100,66712561,29,33,34,32,30,33,34,32,33,35,35
"1058","Neuenhof",2667100,1256000,66712560,243,254,254,246,243,246,262,256,276,277,269
"1059","Neuenhof",2667100,1255900,66712559,87,103,119,131,130,127,126,121,125,144,137
"1060","Neuenhof",2667100,1255800,66712558,174,176,182,171,184,174,175,183,177,232,95
"1061","Neuenhof",2667100,1255700,66712557,73,72,69,65,66,70,69,68,68,75,72
"1062","Neuenhof",2667100,1255600,66712556,121,144,141,136,139,135,139,135,141,142,137
"1063","Neuenhof",2667100,1255500,66712555,143,141,126,128,128,135,131,128,104,103,108
"1064","Neuenhof",2667100,1255400,66712554,84,98,96,95,91,99,95,109,91,85,82
"1065","Neuenhof",2667100,1255300,66712553,43,46,40,44,48,44,41,47,47,43,44
"1066","Neuenhof",2667100,1255200,66712552,30,16,16,16,18,18,20,23,24,28,32
"1067","Neuenhof",2667100,1255100,66712551,53,54,51,44,43,43,42,40,39,42,41
"1068","Neuenhof",2667100,1255000,66712550,28,30,30,30,30,29,31,32,32,29,28
"1069","Oberrohrdorf",2667100,1252900,66712529,3,3,3,3,3,3,3,3,3,3,3
"1070","Oberrohrdorf",2667100,1252200,66712522,3,3,3,3,3,3,3,3,3,3,3
"1071","Remetschwil",2667100,1251700,66712517,41,44,48,44,46,46,45,45,33,31,33
"1072","Remetschwil",2667100,1251600,66712516,51,55,57,49,50,50,50,50,48,48,43
"1073","Remetschwil",2667100,1251500,66712515,17,17,17,12,13,16,14,12,20,25,25
"1074","Remetschwil",2667100,1251400,66712514,25,23,23,23,23,26,26,26,27,28,24
"1075","Remetschwil",2667100,1251300,66712513,40,40,41,40,38,37,38,38,38,47,45
"1076","Remetschwil",2667100,1251200,66712512,11,26,18,19,26,26,24,11,11,9,7
"1077","Remetschwil",2667100,1251100,66712511,11,11,11,11,11,11,11,11,11,11,11
"1078","Remetschwil",2667100,1250900,66712509,24,37,36,33,37,37,38,38,26,25,24
"1079","Remetschwil",2667100,1250800,66712508,24,8,7,8,8,8,8,8,22,23,22
"1080","Remetschwil",2667100,1250700,66712507,3,3,3,3,3,3,3,3,3,3,3
"1081","Künten",2667100,1249800,66712498,13,14,13,14,13,15,15,13,13,9,10
"1082","Künten",2667100,1249400,66712494,10,10,10,10,10,10,10,10,10,10,10
"1083","Künten",2667100,1249300,66712493,65,96,76,14,13,13,9,9,9,15,18
"1084","Künten",2667100,1249200,66712492,99,82,70,71,73,72,69,73,73,88,92
"1085","Künten",2667100,1249100,66712491,34,30,28,29,28,28,22,20,21,21,22
"1086","Künten",2667100,1249000,66712490,44,47,42,42,40,40,41,40,38,28,28
"1087","Freienwil",2667000,1262000,66702620,4,4,4,4,4,4,4,4,4,4,4
"1088","Freienwil",2667000,1261900,66702619,8,9,9,6,6,9,5,4,4,5,6
"1089","Freienwil",2667000,1261800,66702618,28,25,29,32,32,26,24,23,23,22,22
"1090","Freienwil",2667000,1261700,66702617,35,41,36,36,33,34,33,30,33,35,37
"1091","Freienwil",2667000,1261600,66702616,69,71,66,72,64,74,78,76,82,81,87
"1092","Freienwil",2667000,1261500,66702615,22,22,21,17,22,22,10,11,11,12,11
"1093","Freienwil",2667000,1261100,66702611,6,6,3,4,6,6,5,5,5,5,5
"1094","Freienwil",2667000,1260900,66702609,5,5,5,5,6,6,6,6,6,6,6
"1095","Ennetbaden",2667000,1259900,66702599,9,8,11,11,11,9,12,11,3,3,3
"1096","Ehrendingen",2667000,1259900,66702599,9,8,11,11,11,9,12,11,3,3,3
"1097","Ennetbaden",2667000,1259700,66702597,36,34,34,34,35,38,36,31,25,24,23
"1098","Ennetbaden",2667000,1259600,66702596,49,49,49,52,52,51,55,45,43,43,43
"1099","Ennetbaden",2667000,1259500,66702595,9,4,4,5,5,5,5,5,5,5,5
"1100","Wettingen",2667000,1258300,66702583,3,3,3,3,3,3,3,3,3,3,3
"1101","Wettingen",2667000,1258200,66702582,19,19,20,23,22,24,24,24,20,14,16
"1102","Wettingen",2667000,1258100,66702581,27,27,29,29,30,29,29,31,31,27,30
"1103","Wettingen",2667000,1258000,66702580,11,11,11,10,5,6,6,5,17,15,14
"1104","Wettingen",2667000,1257900,66702579,19,25,26,27,26,27,22,24,24,22,24
"1105","Wettingen",2667000,1257700,66702577,24,21,33,35,39,43,42,41,22,21,21
"1106","Wettingen",2667000,1257600,66702576,59,66,62,65,62,67,61,60,77,76,72
"1107","Wettingen",2667000,1257500,66702575,160,136,139,124,132,155,129,137,148,141,136
"1108","Wettingen",2667000,1257400,66702574,117,162,154,157,158,131,122,127,103,113,110
"1109","Wettingen",2667000,1257300,66702573,138,142,146,143,138,139,138,134,80,82,91
"1110","Wettingen",2667000,1257200,66702572,99,119,121,115,105,72,71,71,92,88,90
"1111","Wettingen",2667000,1257100,66702571,67,50,51,56,55,54,53,52,53,54,54
"1112","Wettingen",2667000,1257000,66702570,81,80,80,81,80,85,90,90,105,91,92
"1113","Wettingen",2667000,1256900,66702569,77,81,92,92,86,90,89,87,71,85,86
"1114","Wettingen",2667000,1256800,66702568,35,41,41,39,40,40,39,42,32,32,32
"1115","Wettingen",2667000,1256700,66702567,11,110,115,115,122,123,116,117,118,121,124
"1116","Neuenhof",2667000,1256400,66702564,3,3,3,3,3,3,3,3,3,3,3
"1117","Neuenhof",2667000,1256200,66702562,36,39,43,48,46,48,41,44,45,45,46
"1118","Neuenhof",2667000,1256100,66702561,104,101,104,104,108,108,116,116,118,123,123
"1119","Neuenhof",2667000,1255800,66702558,66,64,63,67,69,79,84,83,90,91,99
"1120","Neuenhof",2667000,1255700,66702557,94,89,90,85,81,91,98,93,98,97,95
"1121","Neuenhof",2667000,1255600,66702556,69,44,43,39,41,39,41,38,58,63,62
"1122","Neuenhof",2667000,1255500,66702555,120,118,119,113,108,96,98,94,73,71,72
"1123","Neuenhof",2667000,1255400,66702554,113,102,96,99,92,99,100,105,139,135,121
"1124","Neuenhof",2667000,1255300,66702553,47,41,42,41,44,39,43,46,48,48,60
"1125","Neuenhof",2667000,1255200,66702552,27,49,50,48,48,51,51,54,37,38,42
"1126","Neuenhof",2667000,1255100,66702551,63,55,47,50,45,51,47,44,52,59,57
"1127","Neuenhof",2667000,1255000,66702550,3,3,3,3,3,3,3,3,3,6,6
"1128","Remetschwil",2667000,1251700,66702517,18,20,20,20,21,21,21,21,31,31,29
"1129","Remetschwil",2667000,1251600,66702516,18,12,8,10,10,10,11,11,15,15,15
"1130","Remetschwil",2667000,1251500,66702515,10,9,9,9,11,11,12,12,11,11,11
"1131","Remetschwil",2667000,1251400,66702514,23,23,24,24,25,25,27,23,26,24,25
"1132","Remetschwil",2667000,1251300,66702513,64,62,68,62,53,55,55,63,54,58,46
"1133","Remetschwil",2667000,1251200,66702512,59,82,80,79,88,93,75,67,70,71,68
"1134","Remetschwil",2667000,1251100,66702511,10,12,17,12,11,8,7,9,10,11,11
"1135","Remetschwil",2667000,1251000,66702510,15,15,15,15,16,16,15,16,32,29,29
"1136","Remetschwil",2667000,1250900,66702509,3,3,3,3,3,3,3,3,3,3,3
"1137","Künten",2667000,1249400,66702494,4,4,4,4,4,4,4,4,4,4,4
"1138","Künten",2667000,1249300,66702493,18,18,18,18,18,18,18,18,18,18,18
"1139","Künten",2667000,1249200,66702492,10,10,10,10,10,10,10,10,10,10,10
"1140","Künten",2667000,1249100,66702491,14,24,24,22,23,24,21,17,19,17,23
"1141","Künten",2667000,1249000,66702490,6,5,5,5,5,5,3,3,3,4,4
"1142","Freienwil",2666900,1262000,66692620,3,3,3,3,3,3,3,3,3,3,3
"1143","Freienwil",2666900,1261900,66692619,15,15,16,16,10,11,6,9,3,6,7
"1144","Freienwil",2666900,1261800,66692618,38,27,29,32,30,31,39,40,39,39,40
"1145","Freienwil",2666900,1261700,66692617,23,32,27,27,30,31,21,21,22,21,21
"1146","Freienwil",2666900,1261600,66692616,55,54,52,56,57,59,58,61,60,63,57
"1147","Freienwil",2666900,1261500,66692615,82,69,66,64,59,50,59,58,62,66,58
"1148","Ennetbaden",2666900,1259700,66692597,21,22,21,21,21,21,21,21,29,27,27
"1149","Ennetbaden",2666900,1259600,66692596,69,64,66,59,59,61,56,55,56,57,61
"1150","Ennetbaden",2666900,1259500,66692595,39,42,41,45,42,37,38,38,38,37,41
"1151","Wettingen",2666900,1258200,66692582,26,32,33,36,39,28,29,29,25,20,25
"1152","Wettingen",2666900,1258100,66692581,34,41,39,39,38,37,35,35,33,29,32
"1153","Wettingen",2666900,1258000,66692580,17,18,18,22,24,23,23,18,18,17,18
"1154","Wettingen",2666900,1257900,66692579,45,48,47,50,51,50,49,50,47,43,46
"1155","Wettingen",2666900,1257800,66692578,90,92,92,91,90,86,89,90,88,90,91
"1156","Wettingen",2666900,1257700,66692577,54,40,47,45,41,39,41,48,56,51,47
"1157","Wettingen",2666900,1257600,66692576,38,32,28,31,25,26,30,25,28,28,31
"1158","Wettingen",2666900,1257500,66692575,149,162,171,181,176,179,181,186,171,157,154
"1159","Wettingen",2666900,1257400,66692574,206,168,163,163,163,154,152,155,177,174,171
"1160","Wettingen",2666900,1257200,66692572,84,79,88,86,89,91,77,78,60,64,67
"1161","Wettingen",2666900,1257100,66692571,16,19,24,25,25,27,26,28,28,27,27
"1162","Wettingen",2666900,1257000,66692570,3,3,5,5,7,7,7,7,7,7,7
"1163","Wettingen",2666900,1256900,66692569,53,46,44,39,39,43,45,44,46,45,48
"1164","Wettingen",2666900,1256800,66692568,44,35,40,34,36,37,37,39,48,44,45
"1165","Neuenhof",2666900,1256500,66692565,3,3,3,3,3,3,3,3,3,3,3
"1166","Wettingen",2666900,1256500,66692565,3,3,3,3,3,3,3,3,3,3,3
"1167","Neuenhof",2666900,1256300,66692563,3,3,3,3,4,4,4,4,4,4,4
"1168","Neuenhof",2666900,1256200,66692562,120,105,107,104,102,106,114,110,133,124,132
"1169","Neuenhof",2666900,1256100,66692561,123,125,129,123,120,124,119,115,111,108,114
"1170","Neuenhof",2666900,1255900,66692559,3,3,3,3,3,3,3,3,3,3,3
"1171","Neuenhof",2666900,1255800,66692558,143,168,164,172,165,155,156,155,104,110,110
"1172","Neuenhof",2666900,1255700,66692557,134,173,182,177,179,178,168,173,162,160,157
"1173","Neuenhof",2666900,1255600,66692556,56,61,61,62,60,67,67,63,60,34,30
"1174","Neuenhof",2666900,1255500,66692555,45,45,50,48,45,37,54,53,52,72,17
"1175","Neuenhof",2666900,1255400,66692554,53,51,52,48,48,48,49,50,49,48,48
"1176","Neuenhof",2666900,1255300,66692553,45,44,44,47,48,45,42,42,48,46,45
"1177","Neuenhof",2666900,1255200,66692552,26,26,25,20,22,25,26,27,26,24,25
"1178","Neuenhof",2666900,1255100,66692551,7,7,8,8,8,7,7,7,9,9,9
"1179","Oberrohrdorf",2666900,1252600,66692526,3,3,3,3,3,3,3,3,3,3,3
"1180","Oberrohrdorf",2666900,1252400,66692524,3,3,3,3,3,3,3,3,3,3,3
"1181","Oberrohrdorf",2666900,1252200,66692522,8,9,9,9,9,9,9,5,5,6,6
"1182","Remetschwil",2666900,1251200,66692512,22,13,13,13,13,8,13,11,15,13,14
"1183","Remetschwil",2666900,1251100,66692511,22,21,19,20,19,20,19,19,17,17,17
"1184","Remetschwil",2666900,1251000,66692510,17,17,18,17,20,20,19,19,3,3,3
"1185","Freienwil",2666800,1261800,66682618,14,13,14,14,14,15,16,16,16,16,15
"1186","Freienwil",2666800,1261700,66682617,24,27,28,26,23,23,22,21,21,20,21
"1187","Freienwil",2666800,1261600,66682616,20,20,20,20,21,21,4,3,3,3,6
"1188","Freienwil",2666800,1261500,66682615,24,39,39,40,40,43,31,31,29,29,28
"1189","Freienwil",2666800,1261400,66682614,3,3,3,3,3,3,3,3,3,3,3
"1190","Ennetbaden",2666800,1259700,66682597,13,15,14,14,14,14,15,14,15,14,15
"1191","Ennetbaden",2666800,1259600,66682596,35,35,35,37,38,33,40,40,38,37,38
"1192","Ennetbaden",2666800,1259500,66682595,42,52,51,45,43,45,47,48,40,39,36
"1193","Ennetbaden",2666800,1259400,66682594,40,47,47,49,50,51,51,51,49,52,49
"1194","Ennetbaden",2666800,1259300,66682593,11,10,10,10,10,10,10,6,5,6,6
"1195","Ennetbaden",2666800,1259100,66682591,3,3,3,3,3,3,3,3,3,3,3
"1196","Wettingen",2666800,1258400,66682584,16,17,15,19,18,16,18,19,15,14,15
"1197","Wettingen",2666800,1258300,66682583,39,41,37,38,37,35,41,40,32,33,33
"1198","Wettingen",2666800,1258200,66682582,26,29,27,24,26,28,27,27,31,31,27
"1199","Wettingen",2666800,1258100,66682581,48,43,43,43,41,41,40,40,43,38,41
"1200","Wettingen",2666800,1258000,66682580,74,79,80,79,80,80,82,81,68,72,73
"1201","Wettingen",2666800,1257900,66682579,93,93,90,83,92,94,98,90,96,99,100
"1202","Wettingen",2666800,1257800,66682578,52,47,46,46,50,48,43,37,48,43,30
"1203","Wettingen",2666800,1257700,66682577,73,75,73,73,75,74,72,71,70,68,69
"1204","Wettingen",2666800,1257600,66682576,133,132,128,142,132,135,129,121,120,116,119
"1205","Wettingen",2666800,1257500,66682575,134,140,125,129,117,127,127,126,120,117,114
"1206","Wettingen",2666800,1257400,66682574,74,65,65,65,63,63,57,53,74,77,74
"1207","Wettingen",2666800,1257300,66682573,23,26,26,21,21,21,24,23,21,24,27
"1208","Wettingen",2666800,1257200,66682572,49,60,63,62,62,64,60,64,46,44,46
"1209","Wettingen",2666800,1257100,66682571,59,54,53,54,54,57,56,56,66,64,62
"1210","Wettingen",2666800,1257000,66682570,42,43,42,42,45,40,44,47,42,47,47
"1211","Wettingen",2666800,1256900,66682569,35,39,44,44,43,43,42,40,39,35,38
"1212","Wettingen",2666800,1256800,66682568,28,25,25,26,29,28,30,29,29,30,30
"1213","Neuenhof",2666800,1256300,66682563,14,14,14,14,14,14,14,14,14,14,14
"1214","Neuenhof",2666800,1256200,66682562,160,181,180,208,212,213,214,218,199,201,201
"1215","Neuenhof",2666800,1256100,66682561,131,125,127,119,118,119,119,122,124,131,132
"1216","Neuenhof",2666800,1256000,66682560,93,95,94,97,99,95,95,96,91,89,80
"1217","Neuenhof",2666800,1255900,66682559,104,96,103,106,110,106,110,107,87,87,89
"1218","Neuenhof",2666800,1255800,66682558,114,79,80,80,88,82,81,88,136,140,138
"1219","Neuenhof",2666800,1255700,66682557,139,119,121,118,113,122,120,126,137,132,129
"1220","Neuenhof",2666800,1255600,66682556,47,56,60,63,62,52,56,53,47,39,39
"1221","Neuenhof",2666800,1255500,66682555,34,20,24,22,23,22,22,24,21,20,21
"1222","Oberrohrdorf",2666800,1252400,66682524,6,6,8,8,8,6,5,6,4,4,4
"1223","Oberrohrdorf",2666800,1252300,66682523,3,3,4,3,4,4,4,4,4,4,4
"1224","Remetschwil",2666800,1251200,66682512,3,3,3,3,3,3,3,3,3,3,3
"1225","Künten",2666800,1249100,66682491,3,3,5,5,4,4,4,3,3,3,3
"1226","Freienwil",2666700,1261900,66672619,9,9,9,9,10,10,13,13,13,14,11
"1227","Freienwil",2666700,1261800,66672618,86,96,97,98,100,84,74,67,63,51,46
"1228","Freienwil",2666700,1261700,66672617,52,51,41,40,41,42,31,33,31,32,34
"1229","Freienwil",2666700,1261600,66672616,49,47,50,49,48,47,62,56,55,47,49
"1230","Freienwil",2666700,1261500,66672615,17,21,21,22,22,20,18,18,18,17,17
"1231","Freienwil",2666700,1261400,66672614,46,48,47,49,47,52,34,34,34,34,29
"1232","Freienwil",2666700,1261300,66672613,21,23,23,23,25,24,49,45,43,21,21
"1233","Ennetbaden",2666700,1259600,66672596,9,11,12,11,12,11,11,12,11,11,10
"1234","Ennetbaden",2666700,1259500,66672595,31,32,35,37,36,43,38,38,51,52,49
"1235","Ennetbaden",2666700,1259400,66672594,67,63,66,67,67,65,64,59,59,55,55
"1236","Ennetbaden",2666700,1259300,66672593,63,64,65,72,72,73,77,64,68,63,64
"1237","Ennetbaden",2666700,1259200,66672592,5,5,5,6,6,6,6,7,7,7,7
"1238","Wettingen",2666700,1258400,66672584,15,19,18,22,22,20,23,23,28,19,18
"1239","Wettingen",2666700,1258300,66672583,36,24,25,27,29,29,30,28,35,37,37
"1240","Wettingen",2666700,1258200,66672582,33,32,31,28,27,23,22,24,25,25,26
"1241","Wettingen",2666700,1258100,66672581,27,21,25,25,25,26,28,28,26,26,26
"1242","Wettingen",2666700,1258000,66672580,57,58,59,58,54,42,42,44,38,39,40
"1243","Wettingen",2666700,1257900,66672579,49,53,55,57,59,55,57,58,70,70,69
"1244","Wettingen",2666700,1257800,66672578,58,58,56,55,53,52,46,46,41,43,41
"1245","Wettingen",2666700,1257700,66672577,42,48,47,49,49,45,42,43,47,51,48
"1246","Wettingen",2666700,1257600,66672576,114,119,121,130,132,122,117,119,118,119,113
"1247","Wettingen",2666700,1257500,66672575,32,33,31,30,25,21,21,20,24,23,23
"1248","Wettingen",2666700,1257400,66672574,380,363,375,365,368,377,383,389,364,381,358
"1249","Wettingen",2666700,1257200,66672572,51,44,46,46,48,47,41,46,59,58,59
"1250","Wettingen",2666700,1257100,66672571,79,111,118,117,116,125,127,111,115,115,122
"1251","Wettingen",2666700,1257000,66672570,56,49,49,47,53,51,52,46,56,54,56
"1252","Wettingen",2666700,1256900,66672569,36,31,30,31,34,34,36,37,38,39,37
"1253","Wettingen",2666700,1256800,66672568,33,33,32,34,31,36,35,35,26,30,28
"1254","Wettingen",2666700,1256700,66672567,3,3,3,3,3,3,3,3,3,3,3
"1255","Neuenhof",2666700,1256300,66672563,35,35,40,39,34,36,33,32,31,27,24
"1256","Neuenhof",2666700,1256200,66672562,78,95,96,91,92,101,94,81,79,78,78
"1257","Neuenhof",2666700,1256100,66672561,160,183,182,178,186,190,189,196,157,146,138
"1258","Neuenhof",2666700,1256000,66672560,13,24,27,27,29,25,25,26,25,15,19
"1259","Neuenhof",2666700,1255900,66672559,40,37,43,39,45,47,50,53,71,67,72
"1260","Neuenhof",2666700,1255800,66672558,75,75,67,76,77,69,73,77,63,65,62
"1261","Neuenhof",2666700,1255700,66672557,24,21,22,22,19,19,19,20,32,38,39
"1262","Neuenhof",2666700,1255600,66672556,10,8,8,8,8,9,9,8,12,12,12
"1263","Oberrohrdorf",2666700,1252900,66672529,3,3,3,3,3,3,3,3,3,3,3
"1264","Oberrohrdorf",2666700,1252600,66672526,3,3,4,4,5,5,5,5,5,5,5
"1265","Oberrohrdorf",2666700,1252200,66672522,3,3,3,4,4,4,5,5,5,5,5
"1266","Remetschwil",2666700,1251500,66672515,3,4,5,3,4,6,6,6,6,6,6
"1267","Remetschwil",2666700,1250500,66672505,4,4,4,4,4,4,4,5,5,5,5
"1268","Künten",2666700,1250100,66672501,3,3,3,3,3,3,3,3,3,3,3
"1269","Stetten (AG)",2666700,1250100,66672501,3,3,3,3,3,3,3,3,3,3,3
"1270","Freienwil",2666600,1261800,66662618,13,11,11,11,11,7,3,4,6,8,9
"1271","Freienwil",2666600,1261700,66662617,62,44,25,25,24,25,29,28,28,29,30
"1272","Freienwil",2666600,1261600,66662616,4,4,4,4,4,7,4,7,7,6,6
"1273","Freienwil",2666600,1261500,66662615,7,7,7,7,7,11,4,4,5,5,5
"1274","Freienwil",2666600,1261400,66662614,22,24,23,26,25,25,20,20,20,19,19
"1275","Freienwil",2666600,1261300,66662613,17,20,21,21,22,21,20,20,20,19,15
"1276","Obersiggenthal",2666600,1260200,66662602,8,8,8,8,8,8,8,8,8,8,8
"1277","Ennetbaden",2666600,1259500,66662595,28,38,37,35,38,29,30,32,23,19,21
"1278","Ennetbaden",2666600,1259400,66662594,29,31,29,28,27,25,23,26,29,30,30
"1279","Ennetbaden",2666600,1259300,66662593,66,57,56,51,46,47,45,45,46,43,46
"1280","Ennetbaden",2666600,1259200,66662592,32,30,28,32,36,27,33,38,38,38,39
"1281","Ennetbaden",2666600,1259100,66662591,14,21,18,6,6,6,4,5,3,3,3
"1282","Ennetbaden",2666600,1259000,66662590,17,12,15,13,17,18,19,19,19,19,15
"1283","Ennetbaden",2666600,1258900,66662589,6,6,6,6,6,6,6,6,4,4,4
"1284","Wettingen",2666600,1258400,66662584,10,7,7,5,5,5,5,6,5,5,5
"1285","Wettingen",2666600,1258300,66662583,34,27,16,17,17,17,17,17,17,20,20
"1286","Wettingen",2666600,1258200,66662582,52,45,40,36,39,37,37,39,40,41,39
"1287","Wettingen",2666600,1258100,66662581,85,91,84,86,82,75,72,72,66,66,67
"1288","Wettingen",2666600,1258000,66662580,64,61,53,57,58,52,59,61,61,63,62
"1289","Wettingen",2666600,1257900,66662579,45,49,51,52,52,52,49,55,63,63,60
"1290","Wettingen",2666600,1257800,66662578,42,49,50,52,52,50,53,51,66,62,69
"1291","Wettingen",2666600,1257700,66662577,75,93,81,88,90,90,110,106,68,65,65
"1292","Wettingen",2666600,1257600,66662576,106,87,76,88,92,90,80,73,90,89,91
"1293","Wettingen",2666600,1257500,66662575,270,256,259,255,223,238,235,251,240,239,203
"1294","Wettingen",2666600,1257400,66662574,141,179,170,183,178,176,179,174,154,160,158
"1295","Wettingen",2666600,1257300,66662573,295,126,130,135,132,133,134,132,349,342,338
"1296","Wettingen",2666600,1257200,66662572,38,41,44,43,43,43,44,43,39,38,38
"1297","Wettingen",2666600,1257100,66662571,64,62,59,63,59,63,67,63,65,62,65
"1298","Wettingen",2666600,1257000,66662570,100,100,83,86,92,92,83,87,87,94,90
"1299","Wettingen",2666600,1256900,66662569,55,58,60,56,58,48,53,51,55,50,51
"1300","Wettingen",2666600,1256800,66662568,59,41,41,43,43,43,45,45,50,50,52
"1301","Wettingen",2666600,1256700,66662567,19,18,16,17,18,15,14,18,15,17,18
"1302","Neuenhof",2666600,1256300,66662563,47,68,68,69,71,72,70,72,76,74,72
"1303","Neuenhof",2666600,1256200,66662562,110,98,89,96,98,105,95,96,75,72,75
"1304","Neuenhof",2666600,1256100,66662561,119,90,83,81,89,92,84,90,142,131,131
"1305","Neuenhof",2666600,1256000,66662560,34,39,37,37,34,37,35,38,37,36,37
"1306","Neuenhof",2666600,1255900,66662559,42,35,36,37,37,38,41,40,35,38,39
"1307","Neuenhof",2666600,1255800,66662558,28,23,25,22,23,20,20,19,18,19,19
"1308","Neuenhof",2666600,1255700,66662557,4,7,7,7,7,7,6,7,5,5,5
"1309","Oberrohrdorf",2666600,1252500,66662525,3,3,3,3,3,3,3,3,3,3,3
"1310","Oberrohrdorf",2666600,1252300,66662523,11,10,12,12,12,15,12,12,13,11,11
"1311","Oberrohrdorf",2666600,1252200,66662522,6,4,4,4,4,4,4,4,5,6,6
"1312","Oberrohrdorf",2666600,1252100,66662521,6,3,3,3,3,3,3,3,3,3,3
"1313","Oberrohrdorf",2666600,1251900,66662519,8,8,8,8,8,8,8,8,8,8,8
"1314","Remetschwil",2666600,1250400,66662504,5,5,5,5,5,5,5,5,5,5,5
"1315","Stetten (AG)",2666600,1250400,66662504,5,5,5,5,5,5,5,5,5,5,5
"1316","Freienwil",2666500,1261700,66652617,7,7,3,5,5,5,5,5,5,5,5
"1317","Freienwil",2666500,1261600,66652616,5,5,6,6,6,6,6,7,7,7,7
"1318","Freienwil",2666500,1261500,66652615,3,3,3,3,3,3,3,3,3,3,3
"1319","Ennetbaden",2666500,1259500,66652595,47,44,46,50,51,55,57,55,49,52,50
"1320","Ennetbaden",2666500,1259400,66652594,48,50,52,52,62,57,43,43,44,42,29
"1321","Ennetbaden",2666500,1259300,66652593,43,58,56,55,55,54,55,54,51,42,43
"1322","Ennetbaden",2666500,1259200,66652592,23,21,22,21,21,22,20,19,21,20,10
"1323","Ennetbaden",2666500,1259100,66652591,45,42,41,40,42,42,39,40,32,38,39
"1324","Ennetbaden",2666500,1259000,66652590,40,41,39,39,39,39,37,35,39,39,39
"1325","Ennetbaden",2666500,1258900,66652589,19,21,24,24,25,23,25,24,21,20,20
"1326","Wettingen",2666500,1258400,66652584,4,10,10,10,10,9,9,8,3,3,3
"1327","Wettingen",2666500,1258300,66652583,38,39,38,40,41,41,38,41,42,32,35
"1328","Wettingen",2666500,1258200,66652582,48,49,54,51,47,45,46,45,49,50,35
"1329","Wettingen",2666500,1258100,66652581,56,52,59,61,60,62,57,62,55,49,58
"1330","Wettingen",2666500,1258000,66652580,36,38,38,40,40,42,42,45,48,49,49
"1331","Wettingen",2666500,1257900,66652579,62,41,43,43,43,40,43,40,36,36,35
"1332","Wettingen",2666500,1257800,66652578,88,68,66,66,65,65,64,63,89,90,90
"1333","Wettingen",2666500,1257700,66652577,53,72,75,66,67,67,67,66,55,56,53
"1334","Wettingen",2666500,1257600,66652576,75,96,111,104,112,119,114,101,96,99,98
"1335","Wettingen",2666500,1257500,66652575,98,103,104,96,99,107,101,102,103,99,100
"1336","Wettingen",2666500,1257400,66652574,219,219,223,218,217,222,220,218,202,197,192
"1337","Wettingen",2666500,1257300,66652573,228,170,171,174,162,164,169,167,296,305,294
"1338","Wettingen",2666500,1257200,66652572,67,65,73,66,69,67,69,68,83,75,77
"1339","Wettingen",2666500,1257100,66652571,59,63,66,64,57,62,60,61,57,60,47
"1340","Wettingen",2666500,1257000,66652570,71,65,68,64,64,60,63,62,57,60,62
"1341","Wettingen",2666500,1256900,66652569,153,160,158,146,143,168,164,173,59,54,54
"1342","Wettingen",2666500,1256800,66652568,72,52,57,57,53,52,59,64,76,68,68
"1343","Wettingen",2666500,1256700,66652567,39,57,59,65,66,66,71,69,64,62,63
"1344","Neuenhof",2666500,1256400,66652564,105,100,87,86,81,81,96,92,74,14,17
"1345","Neuenhof",2666500,1256300,66652563,4,3,4,3,3,3,3,3,3,4,4
"1346","Neuenhof",2666500,1256200,66652562,81,81,81,81,81,81,81,81,81,81,81
"1347","Neuenhof",2666500,1256100,66652561,80,78,82,83,80,84,80,76,64,75,76
"1348","Neuenhof",2666500,1256000,66652560,46,47,44,50,52,52,57,58,60,58,58
"1349","Oberrohrdorf",2666500,1253400,66652534,3,3,3,3,3,3,3,3,3,3,3
"1350","Oberrohrdorf",2666500,1252600,66652526,21,13,16,17,20,18,23,22,17,17,18
"1351","Oberrohrdorf",2666500,1252500,66652525,26,27,22,23,28,26,23,23,30,27,27
"1352","Oberrohrdorf",2666500,1252400,66652524,4,4,4,5,5,5,5,6,6,7,7
"1353","Oberrohrdorf",2666500,1252300,66652523,17,18,19,20,21,21,19,19,19,19,19
"1354","Oberrohrdorf",2666500,1252200,66652522,22,29,30,25,30,32,31,30,25,23,25
"1355","Oberrohrdorf",2666500,1252100,66652521,23,22,22,21,23,23,25,25,21,26,25
"1356","Oberrohrdorf",2666500,1251900,66652519,34,34,34,34,34,34,34,34,34,34,34
"1357","Oberrohrdorf",2666500,1251800,66652518,43,68,65,61,52,39,8,8,7,7,7
"1358","Remetschwil",2666500,1251800,66652518,43,68,65,61,52,39,8,8,7,7,7
"1359","Remetschwil",2666500,1251400,66652514,3,3,3,3,3,3,3,3,3,3,3
"1360","Remetschwil",2666500,1251100,66652511,3,3,3,3,3,3,3,3,3,3,3
"1361","Stetten (AG)",2666500,1250500,66652505,3,3,3,3,3,3,3,3,6,3,3
"1362","Stetten (AG)",2666500,1250400,66652504,3,3,3,3,3,3,3,3,3,4,3
