"","ERHJAHR","PUBJAHR","E_KOORD","N_KOORD","RELI","GTOT","GA01","GA02","GA03","GA05","GA06","GA07","GA08","GB01","GB02","GB03","GB04","GB05","GB06","GB07","GB08","GB09","GB10","GB11","GB12","GG01","GG02","GG03","GG04","GG05","GG06","GG07","GG08","GG09","GH21","GH22","GH23","GH24","GH25","GH26","GH27","GH28","GH29","GE21","GE22","GE23","GE24","GE25","GE26","GE27","GE28","GE29","GE30","GE31","GE32","GWW21","GWW22","GWW23","GWW24","GWW25","GWW26","GWW27","GWW28","GWE21","GWE22","GWE23","GWE24","GWE25","GWE26","GWE27","GWE28","GWE29","GWE30","GWE31","GWE32","GW00","GW01","GW02","GW03","GW04","GW05","GW06","GW07","GW10","WTOT","WTF","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT1","WT1F","WT101","WT102","WT103","WT104","WT105","WT106","WT107","WT108","WT109","WT110","WT111","WT112","WT2","WT2F","WT201","WT202","WT203","WT204","WT205","WT206","WT207","WT208","WT209","WT210","WT211","WT212","WT3","WT3F","WT301","WT302","WT303","WT304","WT305","WT306","WT307","WT308","WT309","WT310","WT311","WT312","WT4","WT4F","WT401","WT402","WT403","WT404","WT405","WT406","WT407","WT408","WT409","WT410","WT411","WT412","WT5","WT5F","WT501","WT502","WT503","WT504","WT505","WT506","WT507","WT508","WT509","WT510","WT511","WT512","WT6","WT6F","WT601","WT602","WT603","WT604","WT605","WT606","WT607","WT608","WT609","WT610","WT611","WT612"
"3679",2021,2022,2669500,1263400,66952634,9,9,8,4,4,1,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,4,5,0,0,0,0,0,0,1,0,1,0,1,6,0,0,0,0,0,0,0,1,0,1,0,6,1,0,0,0,0,5,2,2,0,0,0,0,0,0,0,1,4,2,0,2,0,0,0,0,4,1,0,0,0,2,1,1,39,4293,0,0,0,3,0,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,158,0,0,0,0,0,0,0,0,0,0,0,3,11,1070,0,0,0,1,0,0,0,0,0,0,0,10,20,2361,0,0,0,0,0,0,0,0,0,0,0,20,4,580,0,0,0,1,0,0,0,0,0,3,0,0,1,124,0,0,0,1,0,0,0,0,0,0,0,0
"3680",2021,2022,2669500,1263500,66952635,6,6,6,3,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,3,2,1,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,3,1,0,0,0,0,0,2,27,3046,0,0,1,2,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,0,0,0,3,12,1204,0,0,0,1,0,0,0,0,0,0,0,11,5,588,0,0,0,1,0,0,0,0,0,0,0,4,5,735,0,0,0,0,0,0,0,0,0,1,0,4,2,330,0,0,1,0,0,0,0,0,0,1,0,0
"3681",2021,2022,2669500,1263600,66952636,10,9,3,1,2,6,1,0,5,0,0,0,1,3,0,0,0,0,1,0,0,5,2,1,1,1,0,0,0,1,0,5,2,0,2,0,0,0,0,0,0,0,5,2,0,0,2,1,0,0,1,0,4,5,0,0,0,0,0,0,0,0,3,1,5,0,0,1,0,0,0,4,4,0,0,1,1,0,0,23,3020,7,0,0,0,2,13,0,0,0,0,1,0,4,360,0,0,0,0,0,4,0,0,0,0,0,0,2,150,0,0,0,0,1,1,0,0,0,0,0,0,6,529,3,0,0,0,0,2,0,0,0,0,1,0,4,450,1,0,0,0,0,3,0,0,0,0,0,0,3,430,0,0,0,0,0,3,0,0,0,0,0,0,4,1101,3,0,0,0,1,0,0,0,0,0,0,0
"3682",2021,2022,2669500,1263900,66952639,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,473,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,259,0,0,0,0,0,0,0,0,0,0,1,0,1,214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3683",2021,2022,2669500,1264400,66952644,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,255,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,0,1,0,0,0,0,0,0,0,0,0,0,1,145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3684",2021,2022,2669600,1252200,66962522,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3685",2021,2022,2669600,1252300,66962523,8,8,5,1,4,3,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,2,5,1,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,2,1,0,0,0,2,3,0,38,3647,3,0,7,0,0,0,28,0,0,0,0,0,3,103,0,0,1,0,0,0,2,0,0,0,0,0,7,430,0,0,1,0,0,0,6,0,0,0,0,0,13,1181,0,0,2,0,0,0,11,0,0,0,0,0,6,660,0,0,0,0,0,0,6,0,0,0,0,0,5,653,1,0,2,0,0,0,2,0,0,0,0,0,4,620,2,0,1,0,0,0,1,0,0,0,0,0
"3686",2021,2022,2669600,1252400,66962524,15,15,15,6,9,0,0,0,4,0,2,0,1,5,2,0,0,0,1,0,0,3,11,1,0,0,0,0,0,4,0,8,1,2,0,0,0,0,0,0,0,4,5,0,2,0,0,4,0,0,1,0,7,7,0,0,0,0,0,0,0,4,3,0,7,0,0,1,0,0,0,6,1,4,0,2,2,0,0,42,4752,6,0,2,0,5,15,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,120,0,0,0,0,1,0,0,0,0,0,1,0,12,1177,3,0,0,0,3,2,4,0,0,0,0,0,18,1911,0,0,1,0,1,8,8,0,0,0,0,0,6,819,2,0,0,0,0,3,0,0,0,0,1,0,4,725,1,0,1,0,0,2,0,0,0,0,0,0
"3687",2021,2022,2669600,1252500,66962525,11,10,10,5,5,0,1,0,0,0,4,4,0,3,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,1,0,0,2,0,6,3,0,0,0,0,0,1,0,1,5,0,3,0,0,1,0,0,0,6,0,0,2,0,2,0,1,39,3357,0,0,4,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,266,0,0,0,2,0,4,0,0,0,0,0,0,6,420,0,0,0,6,0,0,0,0,0,0,0,0,15,1326,0,0,1,10,0,4,0,0,0,0,0,0,8,820,0,0,0,3,0,5,0,0,0,0,0,0,4,525,0,0,3,1,0,0,0,0,0,0,0,0
"3688",2021,2022,2669600,1252600,66962526,8,8,8,2,6,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,3,2,3,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,2,3,0,0,1,1,1,0,27,2510,0,0,6,13,0,0,0,0,0,0,8,0,4,141,0,0,1,3,0,0,0,0,0,0,0,0,4,208,0,0,1,3,0,0,0,0,0,0,0,0,8,769,0,0,2,2,0,0,0,0,0,0,4,0,5,578,0,0,0,4,0,0,0,0,0,0,1,0,6,814,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
