RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B21BTOT;B21B11;B21B12;B21B13;B21B14;B21B15;B21B16;B21B21;B21B22;B21B23;B21B24;B21B25;B21B26;B21B27;B21B28;B21B29;B21B30;B21BMTOT;B21BM01;B21BM02;B21BM03;B21BM04;B21BM05;B21BM06;B21BM07;B21BM08;B21BM09;B21BM10;B21BM11;B21BM12;B21BM13;B21BM14;B21BM15;B21BM16;B21BM17;B21BM18;B21BM19;B21BWTOT;B21BW01;B21BW02;B21BW03;B21BW04;B21BW05;B21BW06;B21BW07;B21BW08;B21BW09;B21BW10;B21BW11;B21BW12;B21BW13;B21BW14;B21BW15;B21BW16;B21BW17;B21BW18;B21BW19;B21B41;B21B42;B21B43;B21B44;B21B45;B21B46;B21B51;B21B52;B21B53;B21B54;B21B55;B21B56;H21PTOT;H21P01;H21P02;H21P03;H21P04;H21P05;H21P06;H21PI
58192129;751;15257;2581900;1212900;12;12;0;0;0;0;0;12;1;8;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;9;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;2;1;0;0;4;0;7;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
58210887;6032;11846;2582100;1088700;9;9;0;0;0;0;0;8;2;5;1;0;1;1;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;3;3;1;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
58221151;6135;12767;2582200;1115100;32;28;4;3;0;1;0;28;15;10;3;0;4;3;0;1;0;11;0;0;0;1;0;0;0;0;0;0;0;0;3;0;2;0;1;2;2;21;0;1;0;0;0;0;2;0;0;0;1;0;0;0;1;2;2;5;7;0;4;2;7;18;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0
58221937;2266;12700;2582200;1193700;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
58241487;5843;14618;2582400;1148700;6;4;2;2;0;0;0;3;0;2;1;0;3;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;3;0;2;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
58242525;6810;14969;2582400;1252500;3;3;0;0;0;0;0;3;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
58252052;2258;11969;2582500;1205200;5;5;0;0;0;0;0;5;0;1;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;3;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
58252325;706;15223;2582500;1232500;8;8;0;0;0;0;0;7;2;4;1;0;1;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;4;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
58261789;2294;12024;2582600;1178900;9;9;0;0;0;0;0;9;1;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;0;0;4;3;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
58271988;662;15196;2582700;1198800;11;10;1;1;0;0;0;10;1;7;2;0;1;1;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;0;0;0;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
58292149;742;15248;2582900;1214900;7;7;0;0;0;0;0;6;0;5;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;0;0;0;6;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
58302233;438;15089;2583000;1223300;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
58311849;2306;16595;2583100;1184900;22;20;2;2;0;0;0;20;6;11;3;0;2;2;0;0;0;10;1;0;1;0;0;1;1;0;0;1;0;2;0;2;0;0;0;0;1;12;0;0;0;0;2;0;1;0;1;0;2;1;0;1;1;1;0;1;1;5;3;0;7;7;0;17;4;0;0;0;1;2;0;1;1;0;0;0;1
58312443;6702;13273;2583100;1244300;5;5;0;0;0;0;0;5;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2;0;2;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
58321821;2304;10380;2583200;1182100;20;20;0;0;0;0;0;19;6;13;0;0;1;1;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;4;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;4;0;0;5;8;7;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
58331767;2303;10378;2583300;1176700;17;17;0;0;0;0;0;15;3;9;3;0;2;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;11;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;5;1;1;0;0;1;9;7;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
58332168;750;15256;2583300;1216800;9;8;1;1;0;0;0;6;0;5;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;3;0;0;0;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
58342132;735;15241;2583400;1213200;3;3;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
58342327;707;15224;2583400;1232700;4;4;0;0;0;0;0;3;1;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
58351166;6022;11418;2583500;1116600;13;13;0;0;0;0;0;12;2;6;4;0;1;0;0;1;0;6;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;3;0;3;0;6;4;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
58382316;703;15221;2583800;1231600;35;33;2;1;0;1;0;30;3;15;12;0;5;3;0;2;0;18;0;0;0;0;0;0;1;1;1;2;3;0;1;1;3;1;0;1;3;17;0;0;0;0;0;0;0;2;1;0;0;0;3;2;4;0;3;1;1;0;5;3;22;5;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0
58391956;666;15200;2583900;1195600;8;7;1;1;0;0;0;7;0;5;2;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;0;3;3;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
58401935;2295;13193;2584000;1193500;21;20;1;1;0;0;0;19;5;4;10;0;2;2;0;0;0;6;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;2;0;15;0;0;0;0;0;0;1;0;0;1;2;0;2;0;0;1;3;1;4;1;0;2;7;11;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0
58402121;754;15258;2584000;1212100;11;10;1;1;0;0;0;9;3;4;2;0;2;1;0;1;0;6;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;1;6;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
58452184;739;15245;2584500;1218400;40;39;1;1;0;0;0;38;1;25;12;0;2;1;0;1;0;10;0;0;0;0;0;0;0;0;2;1;1;0;0;1;1;1;1;1;1;30;1;0;0;0;1;0;1;0;1;0;0;1;2;2;2;4;6;2;7;0;4;7;26;3;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0
58462077;304;16124;2584600;1207700;26;25;1;1;0;0;0;24;9;13;2;0;2;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;2;17;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;3;3;5;0;4;2;12;8;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0
58481946;667;15201;2584800;1194600;17;15;2;2;0;0;0;15;2;8;5;0;2;2;0;0;0;10;0;0;0;0;0;1;1;0;0;0;3;2;0;0;2;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;2;0;2;2;9;4;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
58491797;2301;13175;2584900;1179700;14;14;0;0;0;0;0;13;3;8;2;0;1;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;3;8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;4;0;1;1;4;8;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
58492021;671;15205;2584900;1202100;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
58492193;743;15249;2584900;1219300;95;81;14;8;1;5;0;73;0;45;28;0;22;13;1;7;1;45;0;1;2;2;0;1;3;4;2;1;4;2;1;3;5;3;4;1;6;50;0;0;1;1;0;1;1;1;0;1;2;2;0;0;3;1;10;15;11;1;15;6;71;2;0;94;1;0;0;0;0;0;0;0;0;0;0;0;0
58501123;6134;12663;2585000;1112300;12;12;0;0;0;0;0;12;10;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;4;1;0;0;4;7;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0
58502220;372;15043;2585000;1222000;21;20;1;1;0;0;0;18;0;9;9;0;3;2;1;0;0;8;1;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;2;13;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;3;5;0;5;1;14;1;0;21;0;0;0;0;0;1;0;0;1;0;0;0;1
58522359;716;15662;2585200;1235900;10;10;0;0;0;0;0;10;0;6;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;2;1;0;0;0;2;0;8;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
58532132;734;15240;2585300;1213200;2;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
58532172;732;15238;2585300;1217200;7;6;1;1;0;0;0;6;1;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;0;0;0;6;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
58541894;2305;13041;2585400;1189400;19;19;0;0;0;0;0;18;3;12;3;0;1;1;0;0;0;10;0;0;0;0;0;0;0;0;1;0;2;0;3;1;0;1;2;0;0;9;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;0;2;1;10;6;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
58542430;6729;15624;2585400;1243000;81;77;4;3;0;1;0;72;18;35;19;0;9;7;0;2;0;33;2;1;0;1;2;0;0;2;1;3;2;2;3;2;2;3;3;1;3;48;0;0;0;0;0;0;2;3;2;0;2;2;2;2;2;5;4;15;7;0;14;3;40;24;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0
58542496;6703;13274;2585400;1249600;2;2;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
58551012;6037;16601;2585500;1101200;48;27;21;13;7;1;0;25;9;10;6;0;23;16;5;2;0;21;2;0;0;0;0;0;0;1;4;0;4;3;2;3;0;0;1;1;0;27;2;1;0;1;2;0;3;0;3;1;3;1;0;1;1;0;1;2;5;2;11;9;8;17;1;46;0;1;1;0;0;0;0;0;0;0;0;0;0
58552212;371;15042;2585500;1221200;427;368;59;25;9;25;0;338;124;88;126;0;89;42;9;37;1;189;3;1;3;5;7;12;8;18;12;14;14;20;23;13;6;10;5;6;9;238;1;1;4;2;4;2;10;8;4;7;4;16;8;8;8;17;26;46;62;7;37;45;273;65;0;417;3;1;1;3;2;4;2;0;1;0;0;1;1
58572270;450;15658;2585700;1227000;22;20;2;2;0;0;0;21;3;14;4;0;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0;3;1;1;1;0;0;0;2;1;0;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;2;6;0;2;4;14;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
58581758;2300;13218;2585800;1175800;16;15;1;1;0;0;0;15;7;4;4;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;4;2;0;1;0;5;10;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
58601178;6021;11763;2586000;1117800;21;21;0;0;0;0;0;19;5;12;2;0;2;1;0;1;0;7;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;7;2;1;2;4;10;4;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0
58612184;745;15251;2586100;1218400;46;39;7;5;0;2;0;38;0;26;12;0;8;5;0;3;0;19;0;0;0;0;0;0;0;1;1;1;2;1;0;2;1;2;1;3;4;27;0;0;0;0;0;0;0;0;1;0;2;1;2;1;1;1;2;5;11;0;3;4;37;2;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0
58662004;668;15202;2586600;1200400;14;14;0;0;0;0;0;12;4;7;1;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;7;7;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
